product_name,description,base_price,category,product_sku,variant_color,variant_storage,price_modifier,variant_sku,quantity,low_stock_threshold
Xiaomi Camera 22,Xiaomi Camera 22 high-quality modern camera with advanced features.,1499.3,Cameras,SKU-0031,Silver,256GB,25,SKU-0031-SIL-256,69,6
Samsung Smartwatche 19,Samsung Smartwatche 19 high-quality modern smartwatche with advanced features.,1989.79,Smartwatches,SKU-0032,Red,64GB,20,SKU-0032-RED-64,53,8
LG Smartphone 1,LG Smartphone 1 high-quality modern smartphone with advanced features.,1042.29,Smartphones,SKU-0033,Gold,256GB,10,SKU-0033-GOL-256,32,10
Asus Monitor 42,Asus Monitor 42 high-quality modern monitor with advanced features.,1251.09,Monitors,SKU-0034,Blue,32GB,5,SKU-0034-BLU-32,74,17
HP Smartwatche 24,HP Smartwatche 24 high-quality modern smartwatche with advanced features.,767.71,Smartwatches,SKU-0035,Black,128GB,0,SKU-0035-BLA-128,89,11
HP Monitor 38,HP Monitor 38 high-quality modern monitor with advanced features.,1036.76,Monitors,SKU-0036,Black,32GB,0,SKU-0036-BLA-32,21,14
Lenovo Monitor 6,Lenovo Monitor 6 high-quality modern monitor with advanced features.,1400.58,Monitors,SKU-0037,Silver,64GB,15,SKU-0037-SIL-64,99,15
Oppo Headphone 27,Oppo Headphone 27 high-quality modern headphone with advanced features.,191.24,Headphones,SKU-0038,Silver,256GB,25,SKU-0038-SIL-256,7,19
Sony Monitor 26,Sony Monitor 26 high-quality modern monitor with advanced features.,797.6,Monitors,SKU-0039,Black,32GB,5,SKU-0039-BLA-32,23,20
LG Headphone 37,LG Headphone 37 high-quality modern headphone with advanced features.,314.25,Headphones,SKU-0040,Green,128GB,10,SKU-0040-GRE-128,23,14
Canon Camera 34,Canon Camera 34 high-quality modern camera with advanced features.,1069.76,Cameras,SKU-0041,Green,256GB,0,SKU-0041-GRE-256,50,17
Dell Camera 15,Dell Camera 15 high-quality modern camera with advanced features.,449.78,Cameras,SKU-0042,Blue,128GB,5,SKU-0042-BLU-128,100,14
Asus Tablet 44,Asus Tablet 44 high-quality modern tablet with advanced features.,944.73,Tablets,SKU-0043,White,64GB,20,SKU-0043-WHI-64,13,8
HP Monitor 8,HP Monitor 8 high-quality modern monitor with advanced features.,973.54,Monitors,SKU-0044,Silver,512GB,0,SKU-0044-SIL-512,59,5
Apple Tablet 29,Apple Tablet 29 high-quality modern tablet with advanced features.,1197.71,Tablets,SKU-0045,Red,512GB,10,SKU-0045-RED-512,61,13
LG Camera 47,LG Camera 47 high-quality modern camera with advanced features.,141.71,Cameras,SKU-0046,White,32GB,15,SKU-0046-WHI-32,53,12
HP Camera 38,HP Camera 38 high-quality modern camera with advanced features.,1808.3,Cameras,SKU-0047,White,128GB,10,SKU-0047-WHI-128,49,14
Apple Camera 50,Apple Camera 50 high-quality modern camera with advanced features.,1177.26,Cameras,SKU-0048,Blue,1TB,5,SKU-0048-BLU-1TB,80,7
LG Smartwatche 41,LG Smartwatche 41 high-quality modern smartwatche with advanced features.,1626.1,Smartwatches,SKU-0049,White,1TB,20,SKU-0049-WHI-1TB,26,18
Sony Camera 39,Sony Camera 39 high-quality modern camera with advanced features.,1500.45,Cameras,SKU-0050,Red,128GB,20,SKU-0050-RED-128,62,5
Asus Headphone 14,Asus Headphone 14 high-quality modern headphone with advanced features.,1979.23,Headphones,SKU-0051,Green,256GB,5,SKU-0051-GRE-256,35,9
Canon Tablet 1,Canon Tablet 1 high-quality modern tablet with advanced features.,812.72,Tablets,SKU-0052,Black,128GB,15,SKU-0052-BLA-128,42,20
Lenovo Gaming Console 23,Lenovo Gaming Console 23 high-quality modern gaming console with advanced features.,1238.94,Gaming Consoles,SKU-0053,Green,256GB,10,SKU-0053-GRE-256,71,18
Oppo Headphone 1,Oppo Headphone 1 high-quality modern headphone with advanced features.,610.13,Headphones,SKU-0054,Silver,64GB,5,SKU-0054-SIL-64,42,15
Asus Tablet 31,Asus Tablet 31 high-quality modern tablet with advanced features.,383.51,Tablets,SKU-0055,Red,1TB,5,SKU-0055-RED-1TB,92,5
Oppo Smartwatche 48,Oppo Smartwatche 48 high-quality modern smartwatche with advanced features.,626.36,Smartwatches,SKU-0056,Blue,512GB,10,SKU-0056-BLU-512,50,5
Oppo Tablet 11,Oppo Tablet 11 high-quality modern tablet with advanced features.,425.95,Tablets,SKU-0057,White,512GB,10,SKU-0057-WHI-512,59,19
Xiaomi Laptop 41,Xiaomi Laptop 41 high-quality modern laptop with advanced features.,299.05,Laptops,SKU-0058,Red,256GB,5,SKU-0058-RED-256,99,16
Asus Headphone 6,Asus Headphone 6 high-quality modern headphone with advanced features.,561.91,Headphones,SKU-0059,Green,256GB,20,SKU-0059-GRE-256,55,14
Xiaomi Gaming Console 38,Xiaomi Gaming Console 38 high-quality modern gaming console with advanced features.,1774.62,Gaming Consoles,SKU-0060,Blue,64GB,20,SKU-0060-BLU-64,63,5
LG Smartwatche 16,LG Smartwatche 16 high-quality modern smartwatche with advanced features.,605.52,Smartwatches,SKU-0061,Green,1TB,5,SKU-0061-GRE-1TB,61,9
Apple Headphone 1,Apple Headphone 1 high-quality modern headphone with advanced features.,1040.72,Headphones,SKU-0062,Red,512GB,15,SKU-0062-RED-512,25,17
Xiaomi Headphone 6,Xiaomi Headphone 6 high-quality modern headphone with advanced features.,1239.15,Headphones,SKU-0063,Black,512GB,0,SKU-0063-BLA-512,54,14
Vivo Gaming Console 15,Vivo Gaming Console 15 high-quality modern gaming console with advanced features.,561.54,Gaming Consoles,SKU-0064,Black,1TB,20,SKU-0064-BLA-1TB,87,11
Dell Headphone 47,Dell Headphone 47 high-quality modern headphone with advanced features.,776.45,Headphones,SKU-0065,White,256GB,20,SKU-0065-WHI-256,9,12
Sony Camera 50,Sony Camera 50 high-quality modern camera with advanced features.,1427.44,Cameras,SKU-0066,Silver,256GB,20,SKU-0066-SIL-256,89,5
LG Networking Device 14,LG Networking Device 14 high-quality modern networking device with advanced features.,1957.65,Networking Devices,SKU-0067,Green,1TB,5,SKU-0067-GRE-1TB,95,13
Dell Laptop 1,Dell Laptop 1 high-quality modern laptop with advanced features.,460.04,Laptops,SKU-0068,Red,1TB,0,SKU-0068-RED-1TB,85,17
Samsung Tablet 49,Samsung Tablet 49 high-quality modern tablet with advanced features.,839.33,Tablets,SKU-0069,Silver,1TB,20,SKU-0069-SIL-1TB,22,6
LG Tablet 20,LG Tablet 20 high-quality modern tablet with advanced features.,339.44,Tablets,SKU-0070,Red,32GB,10,SKU-0070-RED-32,35,8
Nikon Laptop 5,Nikon Laptop 5 high-quality modern laptop with advanced features.,1177.22,Laptops,SKU-0071,Red,512GB,20,SKU-0071-RED-512,73,20
Apple Home Appliance 30,Apple Home Appliance 30 high-quality modern home appliance with advanced features.,480.49,Home Appliances,SKU-0072,Silver,512GB,0,SKU-0072-SIL-512,59,5
Dell Smartphone 18,Dell Smartphone 18 high-quality modern smartphone with advanced features.,847.85,Smartphones,SKU-0073,Black,512GB,25,SKU-0073-BLA-512,90,7
Nikon Headphone 50,Nikon Headphone 50 high-quality modern headphone with advanced features.,1183.28,Headphones,SKU-0074,Blue,32GB,5,SKU-0074-BLU-32,48,18
Vivo Smartwatche 47,Vivo Smartwatche 47 high-quality modern smartwatche with advanced features.,973.28,Smartwatches,SKU-0075,Black,32GB,0,SKU-0075-BLA-32,14,9
Nikon Camera 22,Nikon Camera 22 high-quality modern camera with advanced features.,1473.62,Cameras,SKU-0076,Green,32GB,0,SKU-0076-GRE-32,66,14
Samsung Networking Device 26,Samsung Networking Device 26 high-quality modern networking device with advanced features.,1444.99,Networking Devices,SKU-0077,Green,1TB,15,SKU-0077-GRE-1TB,67,20
Oppo Headphone 44,Oppo Headphone 44 high-quality modern headphone with advanced features.,781.33,Headphones,SKU-0078,Blue,512GB,20,SKU-0078-BLU-512,32,10
Nikon Monitor 3,Nikon Monitor 3 high-quality modern monitor with advanced features.,1952.08,Monitors,SKU-0079,Green,256GB,0,SKU-0079-GRE-256,28,8
Apple Home Appliance 35,Apple Home Appliance 35 high-quality modern home appliance with advanced features.,1444.96,Home Appliances,SKU-0080,White,1TB,15,SKU-0080-WHI-1TB,61,5
Samsung Smartphone 50,Samsung Smartphone 50 high-quality modern smartphone with advanced features.,954.96,Smartphones,SKU-0081,Gold,256GB,0,SKU-0081-GOL-256,47,19
LG Laptop 46,LG Laptop 46 high-quality modern laptop with advanced features.,917.24,Laptops,SKU-0082,Gold,256GB,15,SKU-0082-GOL-256,37,9
Nikon Gaming Console 4,Nikon Gaming Console 4 high-quality modern gaming console with advanced features.,865.67,Gaming Consoles,SKU-0083,White,64GB,0,SKU-0083-WHI-64,18,11
HP Tablet 42,HP Tablet 42 high-quality modern tablet with advanced features.,1481.79,Tablets,SKU-0084,Silver,1TB,20,SKU-0084-SIL-1TB,27,13
Sony Home Appliance 35,Sony Home Appliance 35 high-quality modern home appliance with advanced features.,742.47,Home Appliances,SKU-0085,Silver,64GB,10,SKU-0085-SIL-64,8,18
Vivo Networking Device 27,Vivo Networking Device 27 high-quality modern networking device with advanced features.,1533.54,Networking Devices,SKU-0086,White,256GB,25,SKU-0086-WHI-256,95,10
Sony Home Appliance 38,Sony Home Appliance 38 high-quality modern home appliance with advanced features.,1882.96,Home Appliances,SKU-0087,Green,64GB,0,SKU-0087-GRE-64,12,6
Oppo Camera 10,Oppo Camera 10 high-quality modern camera with advanced features.,1341.1,Cameras,SKU-0088,Red,512GB,0,SKU-0088-RED-512,86,17
Xiaomi Smartphone 45,Xiaomi Smartphone 45 high-quality modern smartphone with advanced features.,332.99,Smartphones,SKU-0089,Red,128GB,15,SKU-0089-RED-128,63,12
HP Tablet 30,HP Tablet 30 high-quality modern tablet with advanced features.,155.66,Tablets,SKU-0090,Black,32GB,15,SKU-0090-BLA-32,21,9
Canon Camera 8,Canon Camera 8 high-quality modern camera with advanced features.,1055.88,Cameras,SKU-0091,White,1TB,0,SKU-0091-WHI-1TB,87,18
Samsung Smartwatche 17,Samsung Smartwatche 17 high-quality modern smartwatche with advanced features.,1402.07,Smartwatches,SKU-0092,Green,512GB,5,SKU-0092-GRE-512,64,19
Nikon Laptop 20,Nikon Laptop 20 high-quality modern laptop with advanced features.,1428.01,Laptops,SKU-0093,Green,512GB,5,SKU-0093-GRE-512,21,5
Dell Networking Device 9,Dell Networking Device 9 high-quality modern networking device with advanced features.,1030.22,Networking Devices,SKU-0094,Green,32GB,5,SKU-0094-GRE-32,62,11
Oppo Headphone 1,Oppo Headphone 1 high-quality modern headphone with advanced features.,479.23,Headphones,SKU-0095,Red,32GB,15,SKU-0095-RED-32,58,17
LG Gaming Console 44,LG Gaming Console 44 high-quality modern gaming console with advanced features.,1069.79,Gaming Consoles,SKU-0096,Green,32GB,25,SKU-0096-GRE-32,38,5
Asus Headphone 19,Asus Headphone 19 high-quality modern headphone with advanced features.,249.22,Headphones,SKU-0097,Black,64GB,25,SKU-0097-BLA-64,5,19
LG Smartphone 48,LG Smartphone 48 high-quality modern smartphone with advanced features.,833.77,Smartphones,SKU-0098,White,32GB,5,SKU-0098-WHI-32,44,5
Sony Headphone 33,Sony Headphone 33 high-quality modern headphone with advanced features.,1917.84,Headphones,SKU-0099,Black,128GB,5,SKU-0099-BLA-128,12,15
Nikon Tablet 3,Nikon Tablet 3 high-quality modern tablet with advanced features.,1726.22,Tablets,SKU-0100,Silver,512GB,25,SKU-0100-SIL-512,63,8
Oppo Home Appliance 14,Oppo Home Appliance 14 high-quality modern home appliance with advanced features.,1354.29,Home Appliances,SKU-0101,Blue,512GB,5,SKU-0101-BLU-512,51,17
Samsung Camera 5,Samsung Camera 5 high-quality modern camera with advanced features.,158.49,Cameras,SKU-0102,Blue,1TB,10,SKU-0102-BLU-1TB,20,14
Asus Headphone 35,Asus Headphone 35 high-quality modern headphone with advanced features.,1174.2,Headphones,SKU-0103,Green,512GB,20,SKU-0103-GRE-512,31,17
Samsung Smartphone 7,Samsung Smartphone 7 high-quality modern smartphone with advanced features.,667.55,Smartphones,SKU-0104,Black,256GB,0,SKU-0104-BLA-256,29,5
Vivo Laptop 41,Vivo Laptop 41 high-quality modern laptop with advanced features.,748.7,Laptops,SKU-0105,Green,64GB,0,SKU-0105-GRE-64,72,19
Lenovo Smartphone 13,Lenovo Smartphone 13 high-quality modern smartphone with advanced features.,1490,Smartphones,SKU-0106,Green,32GB,15,SKU-0106-GRE-32,32,13
Nikon Laptop 3,Nikon Laptop 3 high-quality modern laptop with advanced features.,732.5,Laptops,SKU-0107,Green,1TB,0,SKU-0107-GRE-1TB,36,15
Xiaomi Camera 30,Xiaomi Camera 30 high-quality modern camera with advanced features.,1239.47,Cameras,SKU-0108,Gold,1TB,5,SKU-0108-GOL-1TB,18,6
LG Camera 4,LG Camera 4 high-quality modern camera with advanced features.,1571.21,Cameras,SKU-0109,Black,1TB,10,SKU-0109-BLA-1TB,85,11
Apple Smartphone 26,Apple Smartphone 26 high-quality modern smartphone with advanced features.,252.77,Smartphones,SKU-0110,White,64GB,0,SKU-0110-WHI-64,82,18
Apple Monitor 22,Apple Monitor 22 high-quality modern monitor with advanced features.,1112.76,Monitors,SKU-0111,White,512GB,15,SKU-0111-WHI-512,38,15
Lenovo Networking Device 4,Lenovo Networking Device 4 high-quality modern networking device with advanced features.,947.34,Networking Devices,SKU-0112,White,64GB,0,SKU-0112-WHI-64,69,5
Canon Headphone 12,Canon Headphone 12 high-quality modern headphone with advanced features.,865.07,Headphones,SKU-0113,Green,256GB,15,SKU-0113-GRE-256,46,20
Samsung Home Appliance 12,Samsung Home Appliance 12 high-quality modern home appliance with advanced features.,755.55,Home Appliances,SKU-0114,Black,256GB,20,SKU-0114-BLA-256,35,6
Canon Smartphone 25,Canon Smartphone 25 high-quality modern smartphone with advanced features.,219.26,Smartphones,SKU-0115,Red,64GB,25,SKU-0115-RED-64,84,14
Vivo Headphone 13,Vivo Headphone 13 high-quality modern headphone with advanced features.,1164.04,Headphones,SKU-0116,Silver,256GB,10,SKU-0116-SIL-256,90,5
Nikon Monitor 22,Nikon Monitor 22 high-quality modern monitor with advanced features.,1378.54,Monitors,SKU-0117,Blue,64GB,5,SKU-0117-BLU-64,10,12
LG Tablet 12,LG Tablet 12 high-quality modern tablet with advanced features.,1357.29,Tablets,SKU-0118,White,512GB,15,SKU-0118-WHI-512,99,17
Lenovo Networking Device 45,Lenovo Networking Device 45 high-quality modern networking device with advanced features.,635.15,Networking Devices,SKU-0119,Silver,1TB,20,SKU-0119-SIL-1TB,97,17
Oppo Smartwatche 28,Oppo Smartwatche 28 high-quality modern smartwatche with advanced features.,1703.62,Smartwatches,SKU-0120,Blue,32GB,15,SKU-0120-BLU-32,27,5
Sony Smartphone 19,Sony Smartphone 19 high-quality modern smartphone with advanced features.,1533.34,Smartphones,SKU-0121,Green,128GB,25,SKU-0121-GRE-128,74,16
Vivo Gaming Console 12,Vivo Gaming Console 12 high-quality modern gaming console with advanced features.,1251.91,Gaming Consoles,SKU-0122,Blue,128GB,25,SKU-0122-BLU-128,5,11
LG Networking Device 29,LG Networking Device 29 high-quality modern networking device with advanced features.,1157.19,Networking Devices,SKU-0123,Red,256GB,25,SKU-0123-RED-256,16,19
Apple Home Appliance 3,Apple Home Appliance 3 high-quality modern home appliance with advanced features.,140.57,Home Appliances,SKU-0124,Green,128GB,15,SKU-0124-GRE-128,17,12
Dell Home Appliance 2,Dell Home Appliance 2 high-quality modern home appliance with advanced features.,240.35,Home Appliances,SKU-0125,Red,32GB,10,SKU-0125-RED-32,99,7
HP Camera 25,HP Camera 25 high-quality modern camera with advanced features.,786.64,Cameras,SKU-0126,Gold,32GB,20,SKU-0126-GOL-32,99,10
Vivo Monitor 26,Vivo Monitor 26 high-quality modern monitor with advanced features.,877.98,Monitors,SKU-0127,White,128GB,5,SKU-0127-WHI-128,38,19
Nikon Gaming Console 48,Nikon Gaming Console 48 high-quality modern gaming console with advanced features.,1967.29,Gaming Consoles,SKU-0128,Black,64GB,20,SKU-0128-BLA-64,37,10
HP Laptop 50,HP Laptop 50 high-quality modern laptop with advanced features.,1149.76,Laptops,SKU-0129,Gold,256GB,15,SKU-0129-GOL-256,40,9
Vivo Headphone 3,Vivo Headphone 3 high-quality modern headphone with advanced features.,436.96,Headphones,SKU-0130,Silver,512GB,20,SKU-0130-SIL-512,85,20
Dell Gaming Console 9,Dell Gaming Console 9 high-quality modern gaming console with advanced features.,537.93,Gaming Consoles,SKU-0131,Blue,64GB,5,SKU-0131-BLU-64,42,5
Dell Camera 45,Dell Camera 45 high-quality modern camera with advanced features.,313.98,Cameras,SKU-0132,White,1TB,5,SKU-0132-WHI-1TB,14,9
Oppo Home Appliance 11,Oppo Home Appliance 11 high-quality modern home appliance with advanced features.,422.24,Home Appliances,SKU-0133,Green,512GB,15,SKU-0133-GRE-512,49,19
Vivo Tablet 34,Vivo Tablet 34 high-quality modern tablet with advanced features.,1151.38,Tablets,SKU-0134,Red,64GB,5,SKU-0134-RED-64,80,10
Xiaomi Home Appliance 47,Xiaomi Home Appliance 47 high-quality modern home appliance with advanced features.,1770.75,Home Appliances,SKU-0135,White,64GB,20,SKU-0135-WHI-64,83,11
Lenovo Networking Device 43,Lenovo Networking Device 43 high-quality modern networking device with advanced features.,1956.06,Networking Devices,SKU-0136,Black,128GB,25,SKU-0136-BLA-128,52,19
LG Tablet 42,LG Tablet 42 high-quality modern tablet with advanced features.,984.62,Tablets,SKU-0137,Red,128GB,10,SKU-0137-RED-128,12,17
Nikon Camera 35,Nikon Camera 35 high-quality modern camera with advanced features.,1297.54,Cameras,SKU-0138,White,256GB,10,SKU-0138-WHI-256,19,16
Apple Networking Device 22,Apple Networking Device 22 high-quality modern networking device with advanced features.,682.26,Networking Devices,SKU-0139,Green,256GB,15,SKU-0139-GRE-256,11,18
Apple Smartphone 43,Apple Smartphone 43 high-quality modern smartphone with advanced features.,227.36,Smartphones,SKU-0140,Silver,256GB,25,SKU-0140-SIL-256,62,7
Lenovo Monitor 23,Lenovo Monitor 23 high-quality modern monitor with advanced features.,1758.51,Monitors,SKU-0141,Blue,64GB,10,SKU-0141-BLU-64,46,11
Dell Home Appliance 5,Dell Home Appliance 5 high-quality modern home appliance with advanced features.,1549.19,Home Appliances,SKU-0142,Silver,128GB,25,SKU-0142-SIL-128,69,12
Nikon Networking Device 26,Nikon Networking Device 26 high-quality modern networking device with advanced features.,426.8,Networking Devices,SKU-0143,Blue,64GB,0,SKU-0143-BLU-64,41,11
Lenovo Smartphone 38,Lenovo Smartphone 38 high-quality modern smartphone with advanced features.,178.01,Smartphones,SKU-0144,Red,32GB,25,SKU-0144-RED-32,37,16
Xiaomi Smartphone 8,Xiaomi Smartphone 8 high-quality modern smartphone with advanced features.,1590.19,Smartphones,SKU-0145,White,512GB,10,SKU-0145-WHI-512,48,17
Xiaomi Smartphone 18,Xiaomi Smartphone 18 high-quality modern smartphone with advanced features.,1697.57,Smartphones,SKU-0146,White,256GB,10,SKU-0146-WHI-256,77,8
Dell Gaming Console 12,Dell Gaming Console 12 high-quality modern gaming console with advanced features.,861.93,Gaming Consoles,SKU-0147,Red,512GB,15,SKU-0147-RED-512,77,17
Dell Smartphone 39,Dell Smartphone 39 high-quality modern smartphone with advanced features.,1960.45,Smartphones,SKU-0148,Red,32GB,25,SKU-0148-RED-32,39,12
LG Camera 16,LG Camera 16 high-quality modern camera with advanced features.,888.18,Cameras,SKU-0149,White,64GB,15,SKU-0149-WHI-64,38,12
Oppo Home Appliance 3,Oppo Home Appliance 3 high-quality modern home appliance with advanced features.,1360.63,Home Appliances,SKU-0150,Gold,1TB,0,SKU-0150-GOL-1TB,46,15
Sony Tablet 2,Sony Tablet 2 high-quality modern tablet with advanced features.,511.31,Tablets,SKU-0151,Red,256GB,0,SKU-0151-RED-256,16,9
Dell Camera 12,Dell Camera 12 high-quality modern camera with advanced features.,1733.38,Cameras,SKU-0152,White,128GB,20,SKU-0152-WHI-128,91,11
Vivo Tablet 24,Vivo Tablet 24 high-quality modern tablet with advanced features.,1140.35,Tablets,SKU-0153,Red,64GB,25,SKU-0153-RED-64,53,11
Nikon Laptop 42,Nikon Laptop 42 high-quality modern laptop with advanced features.,202.7,Laptops,SKU-0154,White,256GB,20,SKU-0154-WHI-256,14,18
HP Tablet 47,HP Tablet 47 high-quality modern tablet with advanced features.,373.24,Tablets,SKU-0155,Blue,64GB,15,SKU-0155-BLU-64,87,18
Oppo Home Appliance 4,Oppo Home Appliance 4 high-quality modern home appliance with advanced features.,1654.24,Home Appliances,SKU-0156,Blue,256GB,10,SKU-0156-BLU-256,42,8
Sony Smartwatche 9,Sony Smartwatche 9 high-quality modern smartwatche with advanced features.,225.63,Smartwatches,SKU-0157,Blue,32GB,5,SKU-0157-BLU-32,46,11
Asus Monitor 16,Asus Monitor 16 high-quality modern monitor with advanced features.,161.72,Monitors,SKU-0158,White,512GB,10,SKU-0158-WHI-512,62,20
Sony Tablet 3,Sony Tablet 3 high-quality modern tablet with advanced features.,1720.36,Tablets,SKU-0159,Silver,128GB,25,SKU-0159-SIL-128,28,15
Nikon Tablet 1,Nikon Tablet 1 high-quality modern tablet with advanced features.,701.19,Tablets,SKU-0160,Gold,32GB,10,SKU-0160-GOL-32,76,15
LG Networking Device 46,LG Networking Device 46 high-quality modern networking device with advanced features.,506.01,Networking Devices,SKU-0161,Green,256GB,0,SKU-0161-GRE-256,99,13
Lenovo Laptop 45,Lenovo Laptop 45 high-quality modern laptop with advanced features.,1817.5,Laptops,SKU-0162,Blue,512GB,15,SKU-0162-BLU-512,79,11
Asus Smartwatche 26,Asus Smartwatche 26 high-quality modern smartwatche with advanced features.,428.69,Smartwatches,SKU-0163,Black,512GB,10,SKU-0163-BLA-512,17,14
Dell Tablet 38,Dell Tablet 38 high-quality modern tablet with advanced features.,1318.42,Tablets,SKU-0164,Blue,512GB,0,SKU-0164-BLU-512,69,18
Lenovo Smartwatche 5,Lenovo Smartwatche 5 high-quality modern smartwatche with advanced features.,530.79,Smartwatches,SKU-0165,Black,512GB,20,SKU-0165-BLA-512,12,19
Samsung Gaming Console 7,Samsung Gaming Console 7 high-quality modern gaming console with advanced features.,1452.43,Gaming Consoles,SKU-0166,Black,512GB,5,SKU-0166-BLA-512,31,9
Canon Smartphone 1,Canon Smartphone 1 high-quality modern smartphone with advanced features.,378.67,Smartphones,SKU-0167,White,512GB,20,SKU-0167-WHI-512,34,17
Apple Networking Device 23,Apple Networking Device 23 high-quality modern networking device with advanced features.,641.15,Networking Devices,SKU-0168,Black,128GB,15,SKU-0168-BLA-128,13,12
Asus Headphone 3,Asus Headphone 3 high-quality modern headphone with advanced features.,344.67,Headphones,SKU-0169,Red,256GB,20,SKU-0169-RED-256,71,13
