product_name,description,base_price,category,product_sku,variant_color,variant_storage,price_modifier,variant_sku,quantity,low_stock_threshold
Headphones 70,Best value for money,1101.29,Accessories,SKU-0070,Red,64GB,62.82,SKU-0070-RED-64GB,68,15
Monitor 71,Latest model with advanced features,105.09,Accessories,SKU-0071,Gold,512GB,11.39,SKU-0071-GOL-512GB,32,15
Camera 72,Latest model with advanced features,1070.78,Accessories,SKU-0072,Black,128GB,60.05,SKU-0072-BLA-128GB,34,12
Laptop 73,Best value for money,1734.03,Electronics,SKU-0073,Green,16GB,26.76,SKU-0073-GRE-16GB,22,12
Headphones 74,Best value for money,807.03,Electronics,SKU-0074,White,128GB,87.07,SKU-0074-WHI-128GB,16,8
Tablet 75,Enhanced performance and battery life,1780.19,Gadgets,SKU-0075,Silver,256GB,178.12,SKU-0075-SIL-256GB,73,19
Smartwatch 76,Best value for money,935.29,Accessories,SKU-0076,Red,128GB,162.91,SKU-0076-RED-128GB,70,8
Speaker 77,Compact and lightweight design,207.97,Gadgets,SKU-0077,Silver,128GB,161.1,SKU-0077-SIL-128GB,64,17
Smartphone 78,Latest model with advanced features,497.19,Gadgets,SKU-0078,Silver,64GB,137.39,SKU-0078-SIL-64GB,94,19
Smartphone 79,High quality and durable product,768.86,Gadgets,SKU-0079,Green,256GB,30.79,SKU-0079-GRE-256GB,92,18
Tablet 80,Enhanced performance and battery life,1854.99,Gadgets,SKU-0080,Blue,32GB,75.78,SKU-0080-BLU-32GB,65,15
Smartwatch 81,Best value for money,1530.39,Electronics,SKU-0081,Silver,16GB,2.38,SKU-0081-SIL-16GB,17,9
Camera 82,Compact and lightweight design,804.18,Accessories,SKU-0082,Gold,256GB,81.77,SKU-0082-GOL-256GB,91,12
Smartphone 83,Compact and lightweight design,886.35,Gadgets,SKU-0083,White,128GB,140.52,SKU-0083-WHI-128GB,29,14
Monitor 84,High quality and durable product,890.98,Accessories,SKU-0084,Black,16GB,94.3,SKU-0084-BLA-16GB,9,12
Tablet 85,Compact and lightweight design,1431.81,Accessories,SKU-0085,Silver,16GB,142.34,SKU-0085-SIL-16GB,62,5
Smartwatch 86,Compact and lightweight design,1430.78,Electronics,SKU-0086,Red,32GB,168.16,SKU-0086-RED-32GB,18,11
Camera 87,Latest model with advanced features,1367.34,Gadgets,SKU-0087,Gold,16GB,183.77,SKU-0087-GOL-16GB,34,19
Smartwatch 88,Best value for money,689.62,Accessories,SKU-0088,White,512GB,127.12,SKU-0088-WHI-512GB,52,12
Camera 89,Best value for money,1442.75,Accessories,SKU-0089,Green,256GB,185.98,SKU-0089-GRE-256GB,37,14
Tablet 90,Compact and lightweight design,294.11,Electronics,SKU-0090,White,256GB,99.92,SKU-0090-WHI-256GB,42,5
Headphones 91,Enhanced performance and battery life,781.31,Electronics,SKU-0091,Blue,128GB,17.15,SKU-0091-BLU-128GB,30,12
Headphones 92,Compact and lightweight design,1566.54,Accessories,SKU-0092,White,64GB,163.71,SKU-0092-WHI-64GB,41,19
Speaker 93,Best value for money,1670.25,Gadgets,SKU-0093,Gold,512GB,94.91,SKU-0093-GOL-512GB,92,17
Headphones 94,High quality and durable product,1211.4,Electronics,SKU-0094,Red,64GB,144.75,SKU-0094-RED-64GB,10,13
Headphones 95,Enhanced performance and battery life,1135.62,Electronics,SKU-0095,Gold,16GB,157.32,SKU-0095-GOL-16GB,79,9
Speaker 96,High quality and durable product,918.0,Electronics,SKU-0096,White,16GB,193.73,SKU-0096-WHI-16GB,85,11
Smartwatch 97,Best value for money,1165.83,Accessories,SKU-0097,White,16GB,92.22,SKU-0097-WHI-16GB,49,11
Monitor 98,High quality and durable product,894.81,Gadgets,SKU-0098,Silver,128GB,147.11,SKU-0098-SIL-128GB,89,13
Smartphone 99,Latest model with advanced features,1535.77,Accessories,SKU-0099,Green,64GB,97.33,SKU-0099-GRE-64GB,91,19
Smartphone 100,Enhanced performance and battery life,1852.7,Electronics,SKU-0100,Red,256GB,3.02,SKU-0100-RED-256GB,69,12
Smartwatch 101,Best value for money,665.83,Gadgets,SKU-0101,Silver,64GB,152.26,SKU-0101-SIL-64GB,6,13
Tablet 102,Best value for money,950.58,Accessories,SKU-0102,Black,32GB,77.99,SKU-0102-BLA-32GB,81,20
Speaker 103,Best value for money,765.75,Accessories,SKU-0103,Silver,32GB,74.5,SKU-0103-SIL-32GB,78,18
Headphones 104,Compact and lightweight design,175.0,Electronics,SKU-0104,Silver,32GB,129.25,SKU-0104-SIL-32GB,25,18
Smartphone 105,Latest model with advanced features,438.24,Electronics,SKU-0105,Red,32GB,87.53,SKU-0105-RED-32GB,96,8
Tablet 106,High quality and durable product,630.36,Gadgets,SKU-0106,Blue,32GB,133.14,SKU-0106-BLU-32GB,65,9
Smartwatch 107,Enhanced performance and battery life,919.47,Accessories,SKU-0107,Red,16GB,59.13,SKU-0107-RED-16GB,45,19
Camera 108,High quality and durable product,1051.52,Electronics,SKU-0108,Red,64GB,60.19,SKU-0108-RED-64GB,10,13
Smartwatch 109,Enhanced performance and battery life,1308.83,Accessories,SKU-0109,Green,128GB,81.81,SKU-0109-GRE-128GB,20,8
Monitor 110,Best value for money,1535.63,Gadgets,SKU-0110,Blue,512GB,99.01,SKU-0110-BLU-512GB,66,15
Smartphone 111,Compact and lightweight design,562.49,Gadgets,SKU-0111,Red,64GB,150.29,SKU-0111-RED-64GB,30,11
Camera 112,Latest model with advanced features,605.91,Electronics,SKU-0112,Blue,64GB,170.31,SKU-0112-BLU-64GB,42,6
Smartwatch 113,Latest model with advanced features,922.58,Electronics,SKU-0113,Gold,128GB,178.62,SKU-0113-GOL-128GB,94,10
Tablet 114,Latest model with advanced features,326.14,Gadgets,SKU-0114,White,32GB,20.79,SKU-0114-WHI-32GB,45,5
Tablet 115,High quality and durable product,129.55,Electronics,SKU-0115,Black,512GB,32.48,SKU-0115-BLA-512GB,54,13
Smartwatch 116,High quality and durable product,1699.18,Electronics,SKU-0116,Blue,32GB,50.54,SKU-0116-BLU-32GB,33,6
Camera 117,High quality and durable product,522.48,Electronics,SKU-0117,Silver,32GB,53.5,SKU-0117-SIL-32GB,12,9
Tablet 118,High quality and durable product,1398.63,Electronics,SKU-0118,White,64GB,42.67,SKU-0118-WHI-64GB,48,7
Monitor 119,Enhanced performance and battery life,952.84,Accessories,SKU-0119,Black,512GB,92.02,SKU-0119-BLA-512GB,51,18
Headphones 120,Enhanced performance and battery life,227.73,Accessories,SKU-0120,Silver,32GB,72.7,SKU-0120-SIL-32GB,13,7
Laptop 121,High quality and durable product,1355.3,Accessories,SKU-0121,Blue,32GB,119.56,SKU-0121-BLU-32GB,99,7
Smartphone 122,High quality and durable product,1690.54,Accessories,SKU-0122,White,512GB,32.72,SKU-0122-WHI-512GB,15,5
Smartphone 123,Compact and lightweight design,1224.92,Gadgets,SKU-0123,Silver,128GB,155.18,SKU-0123-SIL-128GB,60,8
Smartwatch 124,Best value for money,139.94,Electronics,SKU-0124,Blue,512GB,151.41,SKU-0124-BLU-512GB,77,15
Tablet 125,Best value for money,1540.72,Accessories,SKU-0125,Blue,512GB,120.84,SKU-0125-BLU-512GB,7,15
Camera 126,Enhanced performance and battery life,601.02,Gadgets,SKU-0126,Black,256GB,191.03,SKU-0126-BLA-256GB,84,5
Tablet 127,Compact and lightweight design,480.99,Electronics,SKU-0127,Silver,256GB,130.54,SKU-0127-SIL-256GB,13,19
Laptop 128,Latest model with advanced features,1670.43,Accessories,SKU-0128,Silver,64GB,11.03,SKU-0128-SIL-64GB,61,19
Smartwatch 129,Compact and lightweight design,1832.83,Gadgets,SKU-0129,Silver,512GB,159.85,SKU-0129-SIL-512GB,17,17
Laptop 130,Best value for money,1568.03,Electronics,SKU-0130,White,256GB,121.3,SKU-0130-WHI-256GB,27,16
Tablet 131,Enhanced performance and battery life,1870.76,Electronics,SKU-0131,Blue,256GB,153.55,SKU-0131-BLU-256GB,40,11
Speaker 132,High quality and durable product,771.5,Electronics,SKU-0132,Silver,16GB,37.85,SKU-0132-SIL-16GB,55,10
Speaker 133,Best value for money,1283.85,Accessories,SKU-0133,Black,32GB,74.27,SKU-0133-BLA-32GB,17,13
Smartwatch 134,Latest model with advanced features,1139.72,Gadgets,SKU-0134,Blue,32GB,66.01,SKU-0134-BLU-32GB,59,17
Smartphone 135,High quality and durable product,350.62,Accessories,SKU-0135,Green,32GB,172.67,SKU-0135-GRE-32GB,52,10
Headphones 136,Enhanced performance and battery life,834.77,Electronics,SKU-0136,Red,512GB,84.7,SKU-0136-RED-512GB,30,17
Monitor 137,Latest model with advanced features,1077.81,Accessories,SKU-0137,Gold,256GB,18.31,SKU-0137-GOL-256GB,99,10
Headphones 138,Enhanced performance and battery life,1770.47,Electronics,SKU-0138,Black,128GB,88.43,SKU-0138-BLA-128GB,39,20
Monitor 139,Latest model with advanced features,1973.86,Electronics,SKU-0139,Gold,16GB,32.76,SKU-0139-GOL-16GB,88,13
Smartwatch 140,Compact and lightweight design,484.08,Gadgets,SKU-0140,Black,128GB,51.39,SKU-0140-BLA-128GB,27,5
Monitor 141,Best value for money,1575.9,Gadgets,SKU-0141,Red,32GB,10.27,SKU-0141-RED-32GB,33,11
Tablet 142,Latest model with advanced features,1221.46,Gadgets,SKU-0142,Silver,16GB,44.51,SKU-0142-SIL-16GB,9,17
Headphones 143,Compact and lightweight design,299.45,Gadgets,SKU-0143,Silver,64GB,128.33,SKU-0143-SIL-64GB,22,19
Speaker 144,High quality and durable product,1124.94,Electronics,SKU-0144,Black,64GB,131.53,SKU-0144-BLA-64GB,29,15
Smartphone 145,High quality and durable product,1437.04,Gadgets,SKU-0145,Black,512GB,94.53,SKU-0145-BLA-512GB,14,10
Monitor 146,Compact and lightweight design,112.49,Electronics,SKU-0146,Green,64GB,133.23,SKU-0146-GRE-64GB,44,7
Tablet 147,Best value for money,1834.69,Accessories,SKU-0147,Red,64GB,106.68,SKU-0147-RED-64GB,87,5
Headphones 148,Enhanced performance and battery life,660.87,Accessories,SKU-0148,Silver,512GB,54.9,SKU-0148-SIL-512GB,73,6
Camera 149,High quality and durable product,421.18,Electronics,SKU-0149,Black,256GB,14.72,SKU-0149-BLA-256GB,10,20
Smartwatch 150,Compact and lightweight design,1494.04,Electronics,SKU-0150,Gold,16GB,59.11,SKU-0150-GOL-16GB,6,12
Monitor 151,Compact and lightweight design,396.01,Accessories,SKU-0151,White,16GB,18.63,SKU-0151-WHI-16GB,59,6
Monitor 152,Latest model with advanced features,1728.18,Accessories,SKU-0152,Red,512GB,182.39,SKU-0152-RED-512GB,13,17
Camera 153,Compact and lightweight design,118.84,Gadgets,SKU-0153,Blue,64GB,119.32,SKU-0153-BLU-64GB,43,7
Monitor 154,Latest model with advanced features,1904.66,Gadgets,SKU-0154,Black,16GB,159.71,SKU-0154-BLA-16GB,57,14
Monitor 155,Compact and lightweight design,1400.45,Gadgets,SKU-0155,Green,256GB,149.99,SKU-0155-GRE-256GB,10,5
Laptop 156,Compact and lightweight design,1510.75,Accessories,SKU-0156,Green,256GB,173.94,SKU-0156-GRE-256GB,98,19
Laptop 157,Enhanced performance and battery life,1139.11,Accessories,SKU-0157,Green,256GB,47.52,SKU-0157-GRE-256GB,96,10
Speaker 158,Compact and lightweight design,317.21,Electronics,SKU-0158,Red,512GB,50.39,SKU-0158-RED-512GB,97,5
Tablet 159,High quality and durable product,147.33,Electronics,SKU-0159,Silver,32GB,126.81,SKU-0159-SIL-32GB,24,7
Smartphone 160,Compact and lightweight design,1269.47,Gadgets,SKU-0160,Green,16GB,0.75,SKU-0160-GRE-16GB,7,19
Headphones 161,Enhanced performance and battery life,804.46,Gadgets,SKU-0161,Silver,128GB,32.48,SKU-0161-SIL-128GB,39,10
Smartphone 162,Latest model with advanced features,1180.54,Accessories,SKU-0162,Silver,64GB,125.7,SKU-0162-SIL-64GB,72,20
Camera 163,Compact and lightweight design,287.08,Gadgets,SKU-0163,Green,512GB,184.67,SKU-0163-GRE-512GB,53,5
Smartphone 164,Enhanced performance and battery life,1423.69,Electronics,SKU-0164,Blue,128GB,10.72,SKU-0164-BLU-128GB,17,6
Smartphone 165,Enhanced performance and battery life,347.77,Gadgets,SKU-0165,Blue,32GB,83.42,SKU-0165-BLU-32GB,5,13
Smartwatch 166,Enhanced performance and battery life,1720.23,Electronics,SKU-0166,White,128GB,58.32,SKU-0166-WHI-128GB,85,15
Camera 167,Latest model with advanced features,1583.66,Gadgets,SKU-0167,Black,16GB,18.69,SKU-0167-BLA-16GB,32,12
Headphones 168,Best value for money,821.76,Electronics,SKU-0168,White,256GB,98.89,SKU-0168-WHI-256GB,54,5
Laptop 169,Best value for money,877.06,Electronics,SKU-0169,Red,512GB,55.49,SKU-0169-RED-512GB,16,11
Camera 170,Best value for money,1749.2,Gadgets,SKU-0170,White,64GB,144.08,SKU-0170-WHI-64GB,43,8
Smartphone 171,High quality and durable product,711.84,Gadgets,SKU-0171,Silver,64GB,77.02,SKU-0171-SIL-64GB,80,13
Monitor 172,Compact and lightweight design,963.76,Electronics,SKU-0172,Gold,64GB,134.32,SKU-0172-GOL-64GB,33,17
Headphones 173,Enhanced performance and battery life,1431.35,Electronics,SKU-0173,Green,16GB,31.31,SKU-0173-GRE-16GB,17,17
Smartphone 174,High quality and durable product,1751.65,Electronics,SKU-0174,White,512GB,197.78,SKU-0174-WHI-512GB,29,15
Tablet 175,Enhanced performance and battery life,875.59,Gadgets,SKU-0175,Red,128GB,85.54,SKU-0175-RED-128GB,37,11
Camera 176,Enhanced performance and battery life,167.92,Electronics,SKU-0176,Blue,256GB,157.42,SKU-0176-BLU-256GB,17,14
Tablet 177,High quality and durable product,1426.73,Gadgets,SKU-0177,Silver,128GB,43.37,SKU-0177-SIL-128GB,59,16
Smartphone 178,Best value for money,1372.36,Accessories,SKU-0178,White,16GB,11.17,SKU-0178-WHI-16GB,69,6
Speaker 179,High quality and durable product,1585.45,Accessories,SKU-0179,Blue,32GB,115.53,SKU-0179-BLU-32GB,66,5
Smartphone 180,Latest model with advanced features,815.36,Gadgets,SKU-0180,Red,64GB,105.19,SKU-0180-RED-64GB,70,15
Smartwatch 181,Compact and lightweight design,1566.13,Electronics,SKU-0181,White,64GB,165.13,SKU-0181-WHI-64GB,22,19
Smartwatch 182,Best value for money,711.52,Electronics,SKU-0182,Blue,128GB,55.71,SKU-0182-BLU-128GB,33,10
Speaker 183,Best value for money,1820.38,Accessories,SKU-0183,Red,128GB,122.87,SKU-0183-RED-128GB,94,15
Headphones 184,High quality and durable product,1719.78,Gadgets,SKU-0184,Silver,512GB,148.19,SKU-0184-SIL-512GB,30,20
Tablet 185,Compact and lightweight design,291.61,Gadgets,SKU-0185,White,32GB,173.85,SKU-0185-WHI-32GB,76,6
Headphones 186,High quality and durable product,865.9,Gadgets,SKU-0186,Blue,256GB,106.91,SKU-0186-BLU-256GB,93,8
Smartwatch 187,Best value for money,311.5,Electronics,SKU-0187,Gold,64GB,176.68,SKU-0187-GOL-64GB,60,14
Smartwatch 188,Compact and lightweight design,1418.1,Gadgets,SKU-0188,Red,128GB,60.24,SKU-0188-RED-128GB,12,10
Headphones 189,Compact and lightweight design,1110.03,Accessories,SKU-0189,Blue,128GB,47.34,SKU-0189-BLU-128GB,88,12
Monitor 190,Enhanced performance and battery life,1653.46,Gadgets,SKU-0190,Gold,16GB,143.01,SKU-0190-GOL-16GB,57,12
Smartwatch 191,Latest model with advanced features,360.43,Accessories,SKU-0191,White,128GB,107.28,SKU-0191-WHI-128GB,34,7
Headphones 192,High quality and durable product,913.91,Gadgets,SKU-0192,White,16GB,177.83,SKU-0192-WHI-16GB,78,11
Monitor 193,Enhanced performance and battery life,1504.4,Accessories,SKU-0193,Red,64GB,158.81,SKU-0193-RED-64GB,79,12
Smartphone 194,High quality and durable product,1960.45,Gadgets,SKU-0194,Black,256GB,114.26,SKU-0194-BLA-256GB,32,15
Smartphone 195,Best value for money,1309.09,Electronics,SKU-0195,White,64GB,100.67,SKU-0195-WHI-64GB,81,17
Camera 196,Compact and lightweight design,1593.39,Accessories,SKU-0196,Black,512GB,10.59,SKU-0196-BLA-512GB,61,6
Laptop 197,Latest model with advanced features,408.46,Electronics,SKU-0197,Gold,128GB,97.11,SKU-0197-GOL-128GB,88,12
Tablet 198,High quality and durable product,1878.67,Gadgets,SKU-0198,Black,256GB,107.49,SKU-0198-BLA-256GB,83,5
Camera 199,Enhanced performance and battery life,61.88,Electronics,SKU-0199,Red,32GB,21.45,SKU-0199-RED-32GB,21,12
Monitor 200,Enhanced performance and battery life,132.73,Electronics,SKU-0200,Red,256GB,113.82,SKU-0200-RED-256GB,6,7
Camera 201,Latest model with advanced features,1096.29,Gadgets,SKU-0201,Black,512GB,112.03,SKU-0201-BLA-512GB,40,13
Laptop 202,Latest model with advanced features,274.87,Electronics,SKU-0202,Black,512GB,142.52,SKU-0202-BLA-512GB,78,16
Headphones 203,Enhanced performance and battery life,400.36,Electronics,SKU-0203,Gold,256GB,50.19,SKU-0203-GOL-256GB,30,16
Camera 204,Latest model with advanced features,1104.94,Electronics,SKU-0204,Silver,256GB,120.3,SKU-0204-SIL-256GB,36,14
Laptop 205,Enhanced performance and battery life,1539.22,Gadgets,SKU-0205,Red,128GB,164.31,SKU-0205-RED-128GB,61,12
Speaker 206,Best value for money,241.15,Electronics,SKU-0206,Red,16GB,123.16,SKU-0206-RED-16GB,50,5
Laptop 207,Enhanced performance and battery life,125.52,Electronics,SKU-0207,Blue,32GB,49.09,SKU-0207-BLU-32GB,22,18
Smartwatch 208,Best value for money,1541.53,Accessories,SKU-0208,Silver,64GB,56.08,SKU-0208-SIL-64GB,59,15
Smartwatch 209,Compact and lightweight design,1266.16,Accessories,SKU-0209,Silver,32GB,180.8,SKU-0209-SIL-32GB,47,6
Headphones 210,Compact and lightweight design,1859.88,Gadgets,SKU-0210,Blue,128GB,185.12,SKU-0210-BLU-128GB,61,8
Speaker 211,Enhanced performance and battery life,1439.02,Gadgets,SKU-0211,Black,16GB,141.53,SKU-0211-BLA-16GB,22,14
Headphones 212,Enhanced performance and battery life,665.61,Electronics,SKU-0212,Red,16GB,163.84,SKU-0212-RED-16GB,45,10
Smartwatch 213,Enhanced performance and battery life,1709.12,Accessories,SKU-0213,Silver,256GB,94.9,SKU-0213-SIL-256GB,61,14
Smartphone 214,High quality and durable product,1996.57,Gadgets,SKU-0214,Green,256GB,31.89,SKU-0214-GRE-256GB,52,8
Smartphone 215,Latest model with advanced features,1385.35,Gadgets,SKU-0215,Silver,64GB,198.61,SKU-0215-SIL-64GB,43,11
Smartwatch 216,Compact and lightweight design,911.34,Electronics,SKU-0216,Red,256GB,158.26,SKU-0216-RED-256GB,47,20
Camera 217,Best value for money,1556.08,Gadgets,SKU-0217,Silver,32GB,104.75,SKU-0217-SIL-32GB,35,8
Smartphone 218,High quality and durable product,1030.67,Accessories,SKU-0218,Black,512GB,113.91,SKU-0218-BLA-512GB,47,6
